beta_ifng3	alpha_ifng3	delta_ifng3	beta_control3	alpha_control3	delta_control3	beta_ifng2	alpha_ifng2	delta_ifng2	beta_control2	alpha_control2	delta_control2	beta_ifng1	alpha_ifng1	delta_ifng1	beta_control1	alpha_control1	delta_control1	ProteinGroups	Genes	ProteinDescriptions
10.9294285626329	10.4442467002036	9.7388878937679	10.9896570421941	10.892493165393	9.92472471051333	10.8865958709609	9.00813712239783	9.81282362426006	11.083213368249	10.3213306052644	9.86366897825565	10.9733242691245	10.2440667081487	8.97654224505986	10.9285553859438	10.2364632654919	9.33990996523831	E9Q5B2	0610011F06Rik_(E9Q5B2)	Isoform of Q9DCS2, Protein 0610011F06Rik
15.7645891389516	15.0999148477569	15.4115771894594	15.5572602548076	15.1483296041065	15.373959450263	15.7337356417061	14.9519084728466	15.5402763940689	15.6817325512368	15.2033747702921	15.4961359953569	15.6988321556222	15.3009923926824	15.5879298396343	15.6944939225097	15.4044830034881	15.3947105360459	G5E8X1	0610011F06Rik_(G5E8X1)	Isoform of Q9DCS2, Protein 0610011F06Rik
13.8101799814548	14.0290542370666	14.0909972879771	13.59935499142	13.8722420068241	13.2072355286629	13.9321501467265	13.2650186835175	13.3758946916024	13.7216866596261	13.6592043330138	13.5785613899473	13.8859632319892	13.9885338064929	13.9254246285672	13.6972065071242	14.2018788633	13.8525587687419	A2A8E2	0610037L13Rik	Isoform of Q8BHG2, Protein 0610037L13Rik
10.9558968734553	11.133501877815	11.9195486526524	11.1333413239772	11.2530378834989	11.8183504968848	10.8530911850339	11.2843674568112	11.9075929870262	11.1240178891229	11.052656348646	12.0653084166065	10.9263478893528	11.1071974558518	12.0382091239155	11.0008802825588	11.0394331663245	12.0880941887316	A0A0G2JDR8;A0A0G2JDX0	0610040J01Rik	Isoform of Q99K99, Protein 0610040J01Rik (Fragment)
9.90716558314177	9.63459326844576	8.57303786623755	10.1027106149493	10.5542914570231	9.99283922711604	10.0374234067563	9.83855202225053	10.1461346801161	10.4022907320013	10.2072340032032	10.0189794886259	10.0593715026524	10.2991965683812	9.29397104784797	10.1331807522698	10.3656334908815	9.7518408383639	V9GXF1	1110065P20Rik	Isoform of B1ARW8, Protein 1110065P20Rik
11.9696994910552	10.3032839195086	11.1011221411939	12.2488555938687	8.53672461514407	9.51610424882275	12.0926296714271	9.54828416928015	10.0817485907228	11.9189303031505	8.90581212995291	9.97303212393004	11.9788133067236	8.05946674650485	9.79383811830531	11.7681222809382	9.09080823828355	10.0935611897437	V9GX89	1190007I07Rik	Isoform of Q8BTC1, Protein 1190007I07Rik
11.8999157645839	11.6212519931983	11.5313254193455	11.3531027057091	9.00291179503006	9.38234033509314	11.819863737415	9.40239944969559	9.7025443884979	11.8841857856418	11.317209646368	11.9020104429366	11.4612287444514	11.5701735356914	11.4164809245656	11.8708116392008	11.6550001521455	10.3121859894551	J3QPY0	1600014C10Rik	Isoform of Q8WUR0, Protein 1600014C10Rik
9.93302373379244	7.99437040964185	9.59680062237871	9.7038257280869	8.77836446416566	9.72189835072941	9.80631438954777	9.17421585366003	9.55861531189061	10.1415451905444	8.45728172872719	9.43550775328152	9.84762585328196	8.73899408443278	9.50066297083082	8.86352036995455	9.06926217431882	9.85414379151068	E9Q9Y3	1700008F21Rik	Protein 1700008F21Rik
9.46681062622659	11.2515652537321	11.1878159871466	9.81588759050399	11.3644739439875	11.3622232962257	9.60036640179873	11.4022926277339	11.204308256372	9.61184922242476	11.3894969037164	11.5381501233249	9.54568270449976	11.3374044779335	11.3338765175543	9.60719528597195	11.1997950177705	11.3459983929062	F8WIU1;H7BXB9	1700037H04Rik	Isoform of Q9D1K7, Protein 1700037H04Rik
8.802926659002	9.78598530865223	9.92357261874444	8.9214452571686	10.1493152623451	9.74197603947524	9.06461074739922	9.77740327632644	9.9433411790215	9.07105470339348	10.3310176840288	10.3916087824533	8.93270491920526	9.74824485277577	10.0515006609397	9.20283887062797	9.88403158622984	10.3618954103846	G3UW58	1810022K09Rik	Isoform of Q0VG62, MCG1043768
